Light Level : 29.1666666667 lx | Presence: 1 | Timestamp: 1466090771
Light Level : 29.1666666667 lx | Presence: 1 | Timestamp: 1466090825
Light Level : 29.1666666667 lx | Presence: 1 | Timestamp: 1466090831
Light Level : 29.1666666667 lx | Presence: 1 | Timestamp: 1466090885
Light Level : 29.1666666667 lx | Presence: 1 | Timestamp: 1466090891
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466090945
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466090951
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091006
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091011
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091066
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091071
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091126
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091131
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091186
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091191
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091246
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091251
Light Level : 28.3333333333 lx | Presence: 1 | Timestamp: 1466091306
Light Level : 27.5 lx | Presence: 1 | Timestamp: 1466091311
Light Level : 27.5 lx | Presence: 1 | Timestamp: 1466091366
Light Level : 26.6666666667 lx | Presence: 1 | Timestamp: 1466091371
Light Level : 25.8333333333 lx | Presence: 0 | Timestamp: 1466091426
Light Level : 25.0 lx | Presence: 0 | Timestamp: 1466091431
Light Level : 25.8333333333 lx | Presence: 1 | Timestamp: 1466091486
Light Level : 25.0 lx | Presence: 0 | Timestamp: 1466091491
Light Level : 25.0 lx | Presence: 1 | Timestamp: 1466091546
Light Level : 25.0 lx | Presence: 1 | Timestamp: 1466091551
Light Level : 25.0 lx | Presence: 1 | Timestamp: 1466091606
Light Level : 25.0 lx | Presence: 1 | Timestamp: 1466091611
Light Level : 25.0 lx | Presence: 1 | Timestamp: 1466091666
Light Level : 24.1666666667 lx | Presence: 1 | Timestamp: 1466091671
Light Level : 24.1666666667 lx | Presence: 1 | Timestamp: 1466091726
Light Level : 24.1666666667 lx | Presence: 1 | Timestamp: 1466091731
Light Level : 24.1666666667 lx | Presence: 1 | Timestamp: 1466091786
Light Level : 23.3333333333 lx | Presence: 1 | Timestamp: 1466091791
Light Level : 23.3333333333 lx | Presence: 1 | Timestamp: 1466091846
Light Level : 23.3333333333 lx | Presence: 1 | Timestamp: 1466091851
Light Level : 23.3333333333 lx | Presence: 0 | Timestamp: 1466091906
Light Level : 22.5 lx | Presence: 0 | Timestamp: 1466091912
Light Level : 22.5 lx | Presence: 1 | Timestamp: 1466091966
Light Level : 21.6666666667 lx | Presence: 1 | Timestamp: 1466091972
Light Level : 21.6666666667 lx | Presence: 1 | Timestamp: 1466092026
Light Level : 20.8333333333 lx | Presence: 1 | Timestamp: 1466092032
Light Level : 21.6666666667 lx | Presence: 0 | Timestamp: 1466092086
Light Level : 20.8333333333 lx | Presence: 0 | Timestamp: 1466092092
Light Level : 20.0 lx | Presence: 1 | Timestamp: 1466092147
Light Level : 20.0 lx | Presence: 1 | Timestamp: 1466092152
Light Level : 20.0 lx | Presence: 0 | Timestamp: 1466092207
Light Level : 19.1666666667 lx | Presence: 0 | Timestamp: 1466092212
Light Level : 19.1666666667 lx | Presence: 1 | Timestamp: 1466092267
Light Level : 19.1666666667 lx | Presence: 1 | Timestamp: 1466092272
Light Level : 19.1666666667 lx | Presence: 0 | Timestamp: 1466092327
Light Level : 19.1666666667 lx | Presence: 0 | Timestamp: 1466092332
Light Level : 19.1666666667 lx | Presence: 1 | Timestamp: 1466092387
Light Level : 19.1666666667 lx | Presence: 1 | Timestamp: 1466092392
Light Level : 19.1666666667 lx | Presence: 1 | Timestamp: 1466092447
Light Level : 17.5 lx | Presence: 0 | Timestamp: 1466092452
Light Level : 17.5 lx | Presence: 1 | Timestamp: 1466092507
Light Level : 17.5 lx | Presence: 1 | Timestamp: 1466092512
Light Level : 16.6666666667 lx | Presence: 0 | Timestamp: 1466092567
Light Level : 16.6666666667 lx | Presence: 0 | Timestamp: 1466092572
Light Level : 16.6666666667 lx | Presence: 1 | Timestamp: 1466092627
Light Level : 16.6666666667 lx | Presence: 1 | Timestamp: 1466092632
Light Level : 16.6666666667 lx | Presence: 0 | Timestamp: 1466092687
Light Level : 16.6666666667 lx | Presence: 0 | Timestamp: 1466092692
Light Level : 16.6666666667 lx | Presence: 0 | Timestamp: 1466092747
Light Level : 16.6666666667 lx | Presence: 0 | Timestamp: 1466092752
Light Level : 16.6666666667 lx | Presence: 0 | Timestamp: 1466092807
Light Level : 15.8333333333 lx | Presence: 0 | Timestamp: 1466092812
Light Level : 15.8333333333 lx | Presence: 1 | Timestamp: 1466092867
Light Level : 15.8333333333 lx | Presence: 0 | Timestamp: 1466092872
Light Level : 15.8333333333 lx | Presence: 0 | Timestamp: 1466092927
Light Level : 15.0 lx | Presence: 0 | Timestamp: 1466092933
Light Level : 15.0 lx | Presence: 1 | Timestamp: 1466092987
Light Level : 15.0 lx | Presence: 1 | Timestamp: 1466092993
Light Level : 15.0 lx | Presence: 0 | Timestamp: 1466093047
Light Level : 15.0 lx | Presence: 0 | Timestamp: 1466093053
Light Level : 15.0 lx | Presence: 1 | Timestamp: 1466093107
Light Level : 15.0 lx | Presence: 1 | Timestamp: 1466093113
Light Level : 15.0 lx | Presence: 1 | Timestamp: 1466093167
Light Level : 15.0 lx | Presence: 1 | Timestamp: 1466093173
Light Level : 15.0 lx | Presence: 1 | Timestamp: 1466093227
Light Level : 15.0 lx | Presence: 1 | Timestamp: 1466093233
Light Level : 15.0 lx | Presence: 0 | Timestamp: 1466093287
Light Level : 15.0 lx | Presence: 0 | Timestamp: 1466093293
Light Level : 14.1666666667 lx | Presence: 0 | Timestamp: 1466093348
Light Level : 14.1666666667 lx | Presence: 0 | Timestamp: 1466093353
Light Level : 14.1666666667 lx | Presence: 1 | Timestamp: 1466093408
Light Level : 14.1666666667 lx | Presence: 0 | Timestamp: 1466093413
Light Level : 14.1666666667 lx | Presence: 0 | Timestamp: 1466093468
Light Level : 14.1666666667 lx | Presence: 0 | Timestamp: 1466093473
Light Level : 14.1666666667 lx | Presence: 0 | Timestamp: 1466093528
Light Level : 14.1666666667 lx | Presence: 0 | Timestamp: 1466093533
Light Level : 14.1666666667 lx | Presence: 0 | Timestamp: 1466093588
Light Level : 13.3333333333 lx | Presence: 0 | Timestamp: 1466093593
Light Level : 13.3333333333 lx | Presence: 1 | Timestamp: 1466093648
Light Level : 13.3333333333 lx | Presence: 1 | Timestamp: 1466093651
Light Level : 13.3333333333 lx | Presence: 1 | Timestamp: 1466093653
Light Level : 13.3333333333 lx | Presence: 1 | Timestamp: 1466093679
Light Level : 13.3333333333 lx | Presence: 1 | Timestamp: 1466093708
Light Level : 13.3333333333 lx | Presence: 1 | Timestamp: 1466093713
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466093768
Light Level : 10.0 lx | Presence: 1 | Timestamp: 1466093773
Light Level : 12.5 lx | Presence: 0 | Timestamp: 1466093828
Light Level : 12.5 lx | Presence: 0 | Timestamp: 1466093833
Light Level : 12.5 lx | Presence: 0 | Timestamp: 1466093888
Light Level : 12.5 lx | Presence: 0 | Timestamp: 1466093893
Light Level : 12.5 lx | Presence: 0 | Timestamp: 1466093948
Light Level : 11.6666666667 lx | Presence: 0 | Timestamp: 1466093953
Light Level : 11.6666666667 lx | Presence: 1 | Timestamp: 1466094008
Light Level : 11.6666666667 lx | Presence: 1 | Timestamp: 1466094013
Light Level : 11.6666666667 lx | Presence: 0 | Timestamp: 1466094068
Light Level : 11.6666666667 lx | Presence: 0 | Timestamp: 1466094073
Light Level : 11.6666666667 lx | Presence: 0 | Timestamp: 1466094128
Light Level : 11.6666666667 lx | Presence: 0 | Timestamp: 1466094133
Light Level : 11.6666666667 lx | Presence: 0 | Timestamp: 1466094188
Light Level : 11.6666666667 lx | Presence: 0 | Timestamp: 1466094194
Light Level : 10.8333333333 lx | Presence: 0 | Timestamp: 1466094248
Light Level : 10.8333333333 lx | Presence: 0 | Timestamp: 1466094254
Light Level : 10.8333333333 lx | Presence: 0 | Timestamp: 1466094308
Light Level : 10.8333333333 lx | Presence: 0 | Timestamp: 1466094314
Light Level : 10.8333333333 lx | Presence: 1 | Timestamp: 1466094368
Light Level : 10.8333333333 lx | Presence: 0 | Timestamp: 1466094374
Light Level : 10.8333333333 lx | Presence: 1 | Timestamp: 1466094428
Light Level : 10.8333333333 lx | Presence: 1 | Timestamp: 1466094434
Light Level : 10.8333333333 lx | Presence: 1 | Timestamp: 1466094488
Light Level : 10.8333333333 lx | Presence: 1 | Timestamp: 1466094494
Light Level : 10.0 lx | Presence: 0 | Timestamp: 1466094548
Light Level : 10.0 lx | Presence: 0 | Timestamp: 1466094554
Light Level : 10.0 lx | Presence: 1 | Timestamp: 1466094608
Light Level : 10.0 lx | Presence: 1 | Timestamp: 1466094614
Light Level : 10.0 lx | Presence: 0 | Timestamp: 1466094668
Light Level : 10.0 lx | Presence: 0 | Timestamp: 1466094674
Light Level : 10.0 lx | Presence: 0 | Timestamp: 1466094728
Light Level : 10.0 lx | Presence: 0 | Timestamp: 1466094734
Light Level : 10.0 lx | Presence: 1 | Timestamp: 1466094788
Light Level : 10.0 lx | Presence: 1 | Timestamp: 1466094794
Light Level : 10.0 lx | Presence: 1 | Timestamp: 1466094848
